urlparamid,pegelnummer,gewasser,flusskilometer,pegelnullpunkt,einzugsgebiet,rechtswert,hochwert,mhw,mw,mnw
2,10104,Berne,1.40,31.48,,2566184.00,5707172.00,,,
3,10105,Berne,2.83,32.91,,2567323.00,5706410.00,,,
4,10106,Borbecker Mb.,0.65,34.22,,2567540.00,5705975.00,,,
5,11038,Borbecker Mb.,1.79,37.10,,2567629.83,5704851.75,244,47,37
6,12036,Borbecker Mb.,2.20,37.18,,2567554.00,5704546.00,,,
8,10140,Boye,1.60,0.00,,,,,,
9,10035,Boye,3.40,28.79,,2569066.13,5712210.47,280,59,45
11,22101,Brüggerbach,0.10,49.27,,2571699.00,5719882.00,235,57,33
12,20032,Dattelner Mb.,1.45,43.00,,2594381.80,5726854.26,190,44,32
14,20043,Dattelner Mb.,5.15,46.31,,2592158.00,5724508.00,,,
15,20030,Dattelner Mb.,7.43,51.96,,2590002.34,5724091.66,,,
17,10103,Emscher,8.00,23.21,,2555146.00,5710660.00,,,
18,10003,Emscher,10.60,23.79,773.00,2556367.00,5709092.00,580,274,228
19,10008,Emscher,17.30,27.86,654.00,2565824.00,5708623.00,458,134,102
20,10011,Emscher,26.90,30.68,492.00,2574350.00,5712250.00,412,102,75
22,10026,Emscher,50.30,52.79,201.00,2594720.00,5716740.00,377,131,101
23,10091,Emscher,57.40,58.39,,2598869.00,5712470.90,,,
24,10113,Emscher,60.40,68.38,,2599125.01,5709600.43,,,
25,20017,Hammbach,3.15,30.77,,2566912.00,5728164.00,78,29,20
27,11030,Hüller Bach,5.30,39.84,,2579775.11,5708916.52,321,88,76
28,12030,Hüller Bach,5.50,40.43,,2579746.00,5708743.00,171,67,61
29,10030,Hüller Bach,5.90,40.78,,2579893.18,5708474.68,411,68,53
30,23014,Lippe,53.70,55.50,,2627698.85,5730915.53,380,344,339
31,24014,Lippe,53.70,55.49,,2627679.53,5730915.21,316,272,261
32,20012,Lippe,59.40,50.13,2656.00,2622828.00,5728949.00,432,337,314
33,20041,Lippe,75.00,46.47,,2613748.84,5725073.25,511,245,209
34,23009,Lippe,84.80,44.50,,2608007.31,5721468.65,436,397,380
35,24009,Lippe,84.80,44.59,,2607991.96,5721455.11,383,160,118
36,20008,Lippe,87.90,43.11,3162.00,2597686.00,5721160.00,484,273,244
37,20045,Lippe,98.00,41.62,,2600315.81,5725414.96,337,203,177
38,20122,Lippe,105.50,37.23,,2594365.00,5728195.00,509,270,229
41,28085,Lippe,127.60,30.94,4273.00,2582020.00,5733650.00,503,184,118
42,20093,Lippe,134.50,28.65,,2577843.39,5731389.50,506,195,125
44,20004,Lippe,148.40,20.86,4498.00,2566750.00,5726479.00,,,
45,20002,Lippe,167.60,18.59,,2552478.83,5724277.63,404,105,43
47,20001,Lippe,179.30,14.13,4863.00,2544524.00,5724372.00,583,219,158
48,22103,Pawigbach,0.10,49.28,,2572027.00,5718489.00,,,
49,22102,Picksmühlenb.,3.00,48.73,,2572089.00,5718348.00,252,55,46
50,20118,Rapphofs Mb.,1.10,29.92,,2568016.00,5725391.00,308,91,62
51,21018,Rapphofs Mb.,7.09,37.60,,2571355.00,5721355.00,175,60,50
52,22018,Rapphofs Mb.,7.19,39.09,,2571460.00,5721455.00,141,35,25
53,20018,Rapphofs Mb.,7.40,40.76,,2571560.00,5721365.00,163,43,34
55,30097,Rotbach,10.70,33.00,,2556591.12,5716422.56,,,
56,31005,Rotbach,7.60,28.52,,2553989.00,5715046.00,,,
57,30004,Rotbach,11.50,38.34,,2557331.49,5716589.14,61,26,17
58,31004,Rotbach,7.40,27.54,,2553797.57,5714902.19,115,44,31
59,32004,Rotbach,7.80,28.80,,2554226.00,5715156.00,165,129,114
60,10037,Sälzerbach,0.10,41.57,,2567640.50,5704524.35,244,46,35
61,20085,Seseke,9.39,53.51,,2613859.37,5718262.93,183,60,42
62,20021,Seseke,11.50,56.02,,2615670.41,5718691.60,217,68,38
63,20069,Wienbach,0.60,27.84,,2567527.00,5727708.00,90,50,39
71,22021,Dattelner Mb.,5.40,46.66,,2591829.87,5724511.00,224,44,30
72,10099,Emscher,2.30,20.92,,2550008.45,5713883.33,,,
73,20099,Körne,1.02,55.77,,2613748.00,5717312.00,183,55,37
74,11110,Emscher,5.07,103.42,,2608184.95,5707483.75,,,
76,10022,Hellbach,5.60,58.12,,,,,,
79,20019,Rapphofs Mb.,6.50,33.87,,2571367.27,5722139.21,189,99,89
80,20020,Hammbach,1.55,22.94,,2566846.00,5727335.00,,,
81,20022,Seseke,2.25,47.25,,2607499.00,5719820.00,321,104,66
82,20106,Pelkumer Bach,0.73,52.63,,2619046.66,5724690.38,,,
83,23083,Herringer Bach,3.45,53.15,,2622459.88,5725894.67,,,
84,24083,Herringer Bach,3.33,53.20,,2622346.88,5725949.07,,,
86,22105,Pelkumer Bach,0.00,49.06,,2618591.86,5724496.35,,,
88,10071,Landwehrbach,3.10,46.20,,2595761.32,5708883.15,,,
89,10101,Emscher,16.30,27.09,,2565049.27,5708062.06,515,172,136
91,20046,Sickingmühlenbach,1.70,28.93,,2571367.27,5722139.21,,,
92,10097,Ostbach,4.49,64.85,,2586492.48,5712124.00,,,
