sid,place,timestamp,param,value
s1,20001 Fusternberg ,28.03.23 01:10,w,341
s2,20004 Dorsten ,28.03.23 01:10,w,620
s3,28085 Haltern ,28.03.23 01:10,w,326
s4,20008 Lünen ,28.03.23 01:10,w,344
s5,20012 KA Hamm ,28.03.23 01:10,w,348
s6,"10026 Mengede, A45 ",28.03.23 01:10,w,156
s7,10008 Bottrop-Süd ,28.03.23 01:10,w,142
s8,"10101 Bottrop, Essener Straße ",28.03.23 01:10,w,182
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 01:10,w,103
s11,10103 Bahnstraße ,28.03.23 01:10,w,259
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 01:10,w,106
s2,20004 Dorsten ,28.03.23 01:10,q,94.5
s5,20012 KA Hamm ,28.03.23 01:10,q,51.5
s1,20001 Fusternberg ,28.03.23 01:15,w,341
s2,20004 Dorsten ,28.03.23 01:15,w,620
s3,28085 Haltern ,28.03.23 01:15,w,326
s4,20008 Lünen ,28.03.23 01:15,w,344
s5,20012 KA Hamm ,28.03.23 01:15,w,348
s6,"10026 Mengede, A45 ",28.03.23 01:15,w,156
s7,10008 Bottrop-Süd ,28.03.23 01:15,w,142
s8,"10101 Bottrop, Essener Straße ",28.03.23 01:15,w,182
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 01:15,w,103
s11,10103 Bahnstraße ,28.03.23 01:15,w,258
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 01:15,w,106
s2,20004 Dorsten ,28.03.23 01:15,q,94.5
s5,20012 KA Hamm ,28.03.23 01:15,q,51.9
s11,10103 Bahnstraße ,28.03.23 01:15,q,14.9
s1,20001 Fusternberg ,28.03.23 01:20,w,342
s2,20004 Dorsten ,28.03.23 01:20,w,620
s3,28085 Haltern ,28.03.23 01:20,w,326
s4,20008 Lünen ,28.03.23 01:20,w,342
s5,20012 KA Hamm ,28.03.23 01:20,w,348
s6,"10026 Mengede, A45 ",28.03.23 01:20,w,155
s7,10008 Bottrop-Süd ,28.03.23 01:20,w,142
s8,"10101 Bottrop, Essener Straße ",28.03.23 01:20,w,182
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 01:20,w,103
s11,10103 Bahnstraße ,28.03.23 01:20,w,259
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 01:20,w,106
s2,20004 Dorsten ,28.03.23 01:20,q,93.4
s5,20012 KA Hamm ,28.03.23 01:20,q,51.4
s1,20001 Fusternberg ,28.03.23 01:25,w,342
s2,20004 Dorsten ,28.03.23 01:25,w,620
s3,28085 Haltern ,28.03.23 01:25,w,326
s4,20008 Lünen ,28.03.23 01:25,w,342
s5,20012 KA Hamm ,28.03.23 01:25,w,348
s6,"10026 Mengede, A45 ",28.03.23 01:25,w,155
s7,10008 Bottrop-Süd ,28.03.23 01:25,w,142
s8,"10101 Bottrop, Essener Straße ",28.03.23 01:25,w,182
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 01:25,w,103
s11,10103 Bahnstraße ,28.03.23 01:25,w,258
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 01:25,w,106
s2,20004 Dorsten ,28.03.23 01:25,q,93.4
s5,20012 KA Hamm ,28.03.23 01:25,q,51.6
s11,10103 Bahnstraße ,28.03.23 01:25,q,14.7
s1,20001 Fusternberg ,28.03.23 01:30,w,342
s2,20004 Dorsten ,28.03.23 01:30,w,620
s3,28085 Haltern ,28.03.23 01:30,w,326
s4,20008 Lünen ,28.03.23 01:30,w,342
s5,20012 KA Hamm ,28.03.23 01:30,w,348
s6,"10026 Mengede, A45 ",28.03.23 01:30,w,155
s7,10008 Bottrop-Süd ,28.03.23 01:30,w,141
s8,"10101 Bottrop, Essener Straße ",28.03.23 01:30,w,182
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 01:30,w,102
s11,10103 Bahnstraße ,28.03.23 01:30,w,258
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 01:30,w,105
s2,20004 Dorsten ,28.03.23 01:30,q,93.4
s5,20012 KA Hamm ,28.03.23 01:30,q,51.1
s11,10103 Bahnstraße ,28.03.23 01:30,q,14.8
s1,20001 Fusternberg ,28.03.23 02:00,w,342
s2,20004 Dorsten ,28.03.23 02:00,w,621
s3,28085 Haltern ,28.03.23 02:00,w,326
s4,20008 Lünen ,28.03.23 02:00,w,341
s5,20012 KA Hamm ,28.03.23 02:00,w,348
s6,"10026 Mengede, A45 ",28.03.23 02:00,w,155
s7,10008 Bottrop-Süd ,28.03.23 02:00,w,142
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:00,w,181
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:00,w,101
s11,10103 Bahnstraße ,28.03.23 02:00,w,257
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 02:00,w,105
s2,20004 Dorsten ,28.03.23 02:00,q,93.9
s5,20012 KA Hamm ,28.03.23 02:00,q,51.8
s11,10103 Bahnstraße ,28.03.23 02:00,q,14.7
s1,20001 Fusternberg ,28.03.23 02:05,w,342
s2,20004 Dorsten ,28.03.23 02:05,w,621
s3,28085 Haltern ,28.03.23 02:05,w,326
s4,20008 Lünen ,28.03.23 02:05,w,340
s5,20012 KA Hamm ,28.03.23 02:05,w,348
s6,"10026 Mengede, A45 ",28.03.23 02:05,w,154
s7,10008 Bottrop-Süd ,28.03.23 02:05,w,142
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:05,w,181
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:05,w,101
s11,10103 Bahnstraße ,28.03.23 02:05,w,257
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 02:05,w,105
s2,20004 Dorsten ,28.03.23 02:05,q,94.3
s5,20012 KA Hamm ,28.03.23 02:05,q,51.4
s11,10103 Bahnstraße ,28.03.23 02:05,q,14.6
s1,20001 Fusternberg ,28.03.23 02:10,w,342
s2,20004 Dorsten ,28.03.23 02:10,w,621
s3,28085 Haltern ,28.03.23 02:10,w,326
s4,20008 Lünen ,28.03.23 02:10,w,340
s5,20012 KA Hamm ,28.03.23 02:10,w,348
s6,"10026 Mengede, A45 ",28.03.23 02:10,w,154
s7,10008 Bottrop-Süd ,28.03.23 02:10,w,142
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:10,w,181
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:10,w,101
s11,10103 Bahnstraße ,28.03.23 02:10,w,257
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 02:10,w,105
s2,20004 Dorsten ,28.03.23 02:10,q,94.3
s5,20012 KA Hamm ,28.03.23 02:10,q,51.3
s11,10103 Bahnstraße ,28.03.23 02:10,q,14.8
s1,20001 Fusternberg ,28.03.23 02:15,w,342
s2,20004 Dorsten ,28.03.23 02:15,w,621
s3,28085 Haltern ,28.03.23 02:15,w,326
s4,20008 Lünen ,28.03.23 02:15,w,340
s5,20012 KA Hamm ,28.03.23 02:15,w,348
s6,"10026 Mengede, A45 ",28.03.23 02:15,w,154
s7,10008 Bottrop-Süd ,28.03.23 02:15,w,141
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:15,w,181
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:15,w,101
s11,10103 Bahnstraße ,28.03.23 02:15,w,256
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 02:15,w,104
s2,20004 Dorsten ,28.03.23 02:15,q,94.3
s5,20012 KA Hamm ,28.03.23 02:15,q,51.1
s11,10103 Bahnstraße ,28.03.23 02:15,q,14.6
s1,20001 Fusternberg ,28.03.23 02:20,w,342
s2,20004 Dorsten ,28.03.23 02:20,w,621
s3,28085 Haltern ,28.03.23 02:20,w,325
s4,20008 Lünen ,28.03.23 02:20,w,340
s5,20012 KA Hamm ,28.03.23 02:20,w,349
s6,"10026 Mengede, A45 ",28.03.23 02:20,w,154
s7,10008 Bottrop-Süd ,28.03.23 02:20,w,141
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:20,w,181
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:20,w,101
s11,10103 Bahnstraße ,28.03.23 02:20,w,256
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 02:20,w,104
s2,20004 Dorsten ,28.03.23 02:20,q,94.1
s5,20012 KA Hamm ,28.03.23 02:20,q,51.5
s11,10103 Bahnstraße ,28.03.23 02:20,q,14.5
s1,20001 Fusternberg ,28.03.23 02:25,w,342
s2,20004 Dorsten ,28.03.23 02:25,w,621
s3,28085 Haltern ,28.03.23 02:25,w,326
s4,20008 Lünen ,28.03.23 02:25,w,340
s5,20012 KA Hamm ,28.03.23 02:25,w,349
s6,"10026 Mengede, A45 ",28.03.23 02:25,w,154
s7,10008 Bottrop-Süd ,28.03.23 02:25,w,141
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:25,w,180
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:25,w,100
s11,10103 Bahnstraße ,28.03.23 02:25,w,256
s12,"10124 Recklinghausen, Am Stadthafen ",28.03.23 02:25,w,104
s2,20004 Dorsten ,28.03.23 02:25,q,94.1
s5,20012 KA Hamm ,28.03.23 02:25,q,51.3
s11,10103 Bahnstraße ,28.03.23 02:25,q,14.8
s1,20001 Fusternberg ,28.03.23 02:30,w,342
s2,20004 Dorsten ,28.03.23 02:30,w,621
s3,28085 Haltern ,28.03.23 02:30,w,325
s4,20008 Lünen ,28.03.23 02:30,w,340
s5,20012 KA Hamm ,28.03.23 02:30,w,349
s6,"10026 Mengede, A45 ",28.03.23 02:30,w,154
s7,10008 Bottrop-Süd ,28.03.23 02:30,w,141
s8,"10101 Bottrop, Essener Straße ",28.03.23 02:30,w,180
s9,"10119 Gelsenkirchen, Adenauerallee ",28.03.23 02:30,w,100
s11,10103 Bahnstraße ,28.03.23 02:30,w,256
